,pop_est,continent,name,iso_a3,gdp_md_est,geometry
49,40525002.0,Europe,Spain,ESP,1403000.0,"POLYGON ((-9.034817674180246 41.88057058365968, -8.984433152695672 42.59277517350627, -9.392883673530648 43.0266246608127, -7.97818966310831 43.74833771420099, -6.754491746436756 43.56790945085393, -5.411886359061597 43.57423981380968, -4.347842779955783 43.40344920508504, -3.517531704106091 43.4559007838613, -1.901351284177764 43.42280202897834, -1.502770961910528 43.03401439063043, 0.3380469091905809 42.57954600683955, 0.7015906103638941 42.79573436133261, 1.826793247087153 42.34338471126569, 2.985998976258458 42.47301504166986, 3.039484083680549 41.8921202662769, 2.091841668312185 41.2260885686831, 0.8105245296351882 41.01473196060934, 0.7213310074994013 40.67831838638924, 0.1066915218198687 40.12393362076202, -0.278711310212941 39.30997813573272, 0.1112907242938377 38.73851430923304, -0.4671235823491031 38.29236583104115, -0.6833894514905978 37.64235382745782, -1.438382127274849 37.44306366632422, -2.146452602538119 36.67414419203729, -3.415780808923387 36.65889964451118, -4.368900926114719 36.67783905694615, -4.995219285492212 36.32470815687964, -5.377159796561457 35.94685008396146, -5.866432257500904 36.02981659600606, -6.236693894872175 36.36767711033033, -6.520190802425404 36.94291331638732, -7.453725551778092 37.09778758396607, -7.537105475281024 37.42890432387624, -7.166507941099865 37.80389435480222, -7.029281175148796 38.07576406508977, -7.374092169616318 38.37305858006492, -7.098036668313128 39.03007274022379, -7.498632371439726 39.62957103124181, -7.066591559263529 39.71189158788277, -7.026413133156595 40.18452423762425, -6.864019944679385 40.33087189387483, -6.851126674822552 41.11108266861753, -6.389087693700915 41.38181549739465, -6.668605515967656 41.88338694921958, -7.251308966490824 41.91834605566505, -7.422512986673795 41.79207469335984, -8.013174607769912 41.79088613541713, -8.263856980817792 42.28046865495034, -8.67194576662672 42.13468943945496, -9.034817674180246 41.88057058365968))"
50,1299371.0,Europe,Estonia,EST,27410.0,"POLYGON ((24.31286258311462 57.79342357037697, 24.42892785004216 58.38341339785329, 24.06119835785319 58.25737457949341, 23.42656009287668 58.61275340436462, 23.33979536305864 59.18724030215338, 24.60421430837619 59.46585378685502, 25.86418908051664 59.61109039981133, 26.94913577648452 59.44580333112577, 27.98111412935324 59.47538808861287, 28.13169925305175 59.30082510033093, 27.42016645682494 58.72458120384424, 27.71668582531572 57.79189911562436, 27.28818484875151 57.47452830670383, 26.46353234223779 57.47638865826633, 25.60280968598437 57.84752879498657, 25.16459354014927 57.97015696881519, 24.31286258311462 57.79342357037697))"
52,5250275.0,Europe,Finland,FIN,193500.0,"POLYGON ((28.59192955904319 69.06477692328666, 28.44594363781866 68.36461294216404, 29.97742638522061 67.69829702419266, 29.05458865735233 66.94428620062193, 30.21765 65.80598000000001, 29.54442955904699 64.94867157659048, 30.44468468600371 64.20445343693909, 30.03587243014272 63.55281362573855, 31.51609215671112 62.86768748641289, 31.13999108249089 62.35769277612441, 30.21110721204445 61.78002777774969, 28.06999759289528 60.50351654727584, 26.25517296723697 60.4239606797625, 24.49662397634452 60.05731639265166, 22.86969485849946 59.84637319603623, 22.29076378753359 60.39192129174154, 21.32224409351932 60.72016998965952, 21.54486616383269 61.70532949487179, 21.05921105315369 62.60739329695874, 21.5360294939108 63.18973501245587, 22.44274417490399 63.81781037053129, 24.73051150889754 64.90234365504084, 25.39806766124394 65.11142650009374, 25.2940430030404 65.53434642197045, 23.9033785336338 66.00692739527962, 23.56587975433558 66.39605093043743, 23.53947309743444 67.93600861273525, 21.97853478362612 68.6168456081807, 20.64559288908953 69.10624726020087, 21.24493615081067 69.37044302029308, 22.35623782724741 68.84174144151491, 23.66204959483076 68.89124746365054, 24.73567915212672 68.64955678982146, 25.68921268077636 69.09211375596904, 26.17962202322624 69.82529897732614, 27.73229210786786 70.16419302029625, 29.01557295097197 69.76649119737799, 28.59192955904319 69.06477692328666))"
55,64057792.0,Europe,France,FRA,2128000.0,"MULTIPOLYGON (((-52.55642473001839 2.504705308437053, -52.93965715189498 2.124857692875622, -53.41846513529526 2.053389187016037, -53.55483924011349 2.334896551925965, -53.7785206772889 2.376702785650053, -54.08806250671728 2.105556545414629, -54.52475419779975 2.311848863123785, -54.27122962097579 2.738747870286943, -54.18428402364475 3.194172268075235, -54.01150387227682 3.622569891774859, -54.39954220235651 4.212611395683481, -54.47863298197922 4.896755682795643, -53.95804460307093 5.756548163267809, -53.61845292826484 5.646529038918402, -52.88214128275408 5.409850979021599, -51.82334286152593 4.565768133966145, -51.65779741067888 4.156232408053029, -52.24933753112398 3.241094468596287, -52.55642473001839 2.504705308437053)), ((9.560016310269134 42.15249197037957, 9.229752231491773 41.38000682226445, 8.775723097375362 41.58361196549444, 8.54421268070783 42.25651662858309, 8.746009148807588 42.62812185319396, 9.390000848028905 43.00998484961474, 9.560016310269134 42.15249197037957)), ((3.588184441755715 50.37899241800358, 4.286022983425141 49.90749664977255, 4.799221632515753 49.98537303323633, 5.674051954784886 49.52948354755745, 5.897759230176376 49.44266714130717, 6.186320428094206 49.46380280211446, 6.658229607783539 49.20195831969156, 8.099278598674772 49.01778351500337, 7.593676385131062 48.33301911070373, 7.466759067422231 47.62058197691186, 7.192202182655535 47.44976552997099, 6.736571079138088 47.54180125588289, 6.768713820023635 47.28770823830368, 6.037388950228973 46.72577871356191, 6.022609490593567 46.27298981382052, 6.500099724970454 46.42967275652944, 6.843592970414562 45.99114655210067, 6.802355177445662 45.70857982032868, 7.096652459347837 45.33309886329587, 6.749955275101712 45.02851797136759, 7.007562290076663 44.25476675066139, 7.549596388386163 44.12790110938482, 7.435184767291844 43.69384491634918, 6.529245232783069 43.12889232031836, 4.556962517931396 43.39965098731159, 3.10041059735272 43.07520050716712, 2.985998976258486 42.4730150416699, 1.826793247087181 42.34338471126566, 0.7015906103639225 42.79573436133265, 0.3380469091905809 42.57954600683956, -1.502770961910471 43.03401439063049, -1.901351284177736 43.42280202897834, -1.384225226232957 44.02261037859017, -1.193797573237362 46.01491771095488, -2.225724249673789 47.06436269793821, -2.963276129559574 47.57032664650797, -4.491554938159481 47.95495433205642, -4.592349819344747 48.68416046812695, -3.295813971357745 48.90169240985963, -1.616510789384932 48.64442129169458, -1.933494025063254 49.77634186461577, -0.9894689599553601 49.34737580016088, 1.338761020522753 50.12717316344526, 1.6390010921385 50.94660635029751, 2.513573032246171 51.14850617126186, 2.658422071960331 50.79684804951566, 3.123251580425716 50.78036326761452, 3.588184441755715 50.37899241800358)))"
57,62262000.0,Europe,United Kingdom,GBR,1977704.0,"MULTIPOLYGON (((-5.661948614921897 54.55460317648385, -6.197884894220977 53.86756500916334, -6.953730231137996 54.07370229757564, -7.572167934591079 54.05995636658599, -7.366030646178785 54.59584096945269, -7.572167934591079 55.1316222194549, -6.733847011736145 55.1728600124238, -5.661948614921897 54.55460317648385)), ((-3.005004848635281 58.63500010846633, -4.073828497728016 57.55302480735526, -3.055001796877661 57.69001902936094, -1.959280564776918 57.68479970969952, -2.219988165689301 56.87001740175353, -3.119003058271119 55.97379303651547, -2.085009324543023 55.90999848085127, -2.005675679673857 55.80490285035023, -1.11499101399221 54.6249864772654, -0.4304849918542004 54.46437612570216, 0.1849813167420393 53.32501414653103, 0.4699768408317766 52.92999949809197, 1.681530795914739 52.739520168664, 1.559987827164377 52.09999848083601, 1.050561557630914 51.80676056579568, 1.449865349950301 51.28942780212196, 0.5503336930455021 50.76573883727588, -0.7875174625586396 50.77498891865622, -2.489997524414377 50.50001862243124, -2.956273972984036 50.69687999124702, -3.617448085942328 50.22835561787272, -4.542507900399244 50.34183706318566, -5.245023159191135 49.95999990498109, -5.776566941745301 50.15967763935683, -4.309989793301838 51.21000112568916, -3.414850633142123 51.42600861266925, -3.422719467108323 51.42684816740609, -4.984367234710874 51.59346609151098, -5.267295701508885 51.99140045837459, -4.222346564134853 52.30135569926136, -4.770013393564113 52.84000499125563, -4.579999152026915 53.49500377055517, -3.093830673788659 53.40454740066968, -3.092079637047107 53.40444082296355, -2.945008510744344 53.98499970154668, -3.614700825433033 54.60093677329257, -3.630005458989331 54.61501292583301, -4.844169073903004 54.79097117778684, -5.082526617849226 55.06160065369937, -4.719112107756644 55.50847260194348, -5.047980922862109 55.78398550070753, -5.58639767091114 55.31114614523682, -5.644998745130181 56.27501496034481, -6.149980841486354 56.78500967063354, -5.786824713555291 57.81884837506465, -5.009998745127575 58.63001333275005, -4.211494513353557 58.55084503847917, -3.005004848635281 58.63500010846633)))"
64,10737428.0,Europe,Greece,GRC,343000.0,"MULTIPOLYGON (((23.699980096133 35.70500438083553, 24.24666507334868 35.36802236586016, 25.02501549652888 35.42499563246199, 25.76920779796419 35.35401805270908, 25.74502322765159 35.17999766696622, 26.29000288260173 35.29999034274792, 26.16499759288766 35.0049954290098, 24.7249821306423 34.91998769788961, 24.73500735850695 35.08499054619759, 23.51497846852811 35.27999156345098, 23.699980096133 35.70500438083553)), ((26.60419559093629 41.56211456966111, 26.29460208507578 40.93626129817426, 26.05694217296551 40.82412344010083, 25.44767703624419 40.85254547786147, 24.92584842296094 40.94706167252323, 23.71481123220082 40.68712921809512, 24.40799889496407 40.1249929876241, 23.89996788910258 39.96200552017558, 23.3429993018608 39.96099782974579, 22.81398766448896 40.47600515396655, 22.62629886240478 40.25656118423919, 22.84974775563481 39.65931081802577, 23.3500272966526 39.19001129816726, 22.97309939951555 38.97090322524966, 23.53001631032495 38.51000112563847, 24.02502485524894 38.21999298761645, 24.0400110206136 37.65501455336943, 23.11500288258915 37.92001129816222, 23.40997195811107 37.4099907496574, 22.77497195810864 37.30501007745656, 23.15422529469862 36.42250580499206, 22.49002811045111 36.41000010837746, 21.6700264828437 36.8449864771942, 21.29501061370158 37.6449893255047, 21.12003421396133 38.31032339126273, 20.73003217945458 38.76998525649879, 20.21771202971286 39.34023468683964, 20.15001590341052 39.62499766698403, 20.61500044117278 40.11000682225944, 20.67499677906363 40.43499990494306, 20.99998986174728 40.58000397395398, 21.02004031747643 40.84272695572588, 21.67416059742698 40.93127452245798, 22.05537763844427 41.14986583105269, 22.59730838388901 41.1304871689432, 22.76177000000007 41.30480000000009, 22.95237715016657 41.33799388281122, 23.69207360199246 41.30908091894386, 24.49264489105803 41.58389618587205, 25.19720136892553 41.23448598893066, 26.10613813650718 41.32889883072784, 26.11704186372091 41.82690460872473, 26.60419559093629 41.56211456966111)))"
69,4489409.0,Europe,Croatia,HRV,82390.0,"POLYGON ((18.82983808765005 45.90887767189184, 19.07276899585418 45.52151113543209, 19.39047570158459 45.23651561134238, 19.00548628101012 44.86023366960916, 18.55321414559165 45.08158966733146, 17.8617834815264 45.06774038347714, 17.00214603035101 45.23377676043094, 16.53493940600021 45.21160757097772, 16.31815677253587 45.00412669532591, 15.95936730313338 45.23377676043094, 15.75002607591898 44.81871165626256, 16.23966027188453 44.35114329688571, 16.45644290534887 44.04123973243128, 16.91615644701733 43.66772247982567, 17.29737348803445 43.44634064388737, 17.67492150235898 43.02856252702361, 18.55999999999995 42.64999999999998, 18.45001631030482 42.47999136002932, 17.50997033048333 42.84999461523915, 16.93000573087164 43.20999848080038, 16.01538455573768 43.50721548112722, 15.1744539730521 44.24319122982791, 15.3762504411518 44.31791535092208, 14.92030927904051 44.73848399512946, 14.90160241055088 45.07606028907611, 14.25874759284 45.23377676043094, 13.95225467291704 44.80212352149687, 13.65697553880119 45.13693512631596, 13.67940311041582 45.48414907488501, 13.71505984869725 45.50032379819243, 14.4119682145855 45.46616567644742, 14.59510949062792 45.63494090431283, 14.93524376797296 45.47169505470276, 15.32767459479743 45.45231639259333, 15.32395389167243 45.73178253842769, 15.67152957526764 45.83415355079791, 15.76873294440861 46.23810822202353, 16.56480838386494 46.50375092221981, 16.88251508959542 46.38063182228444, 17.63006635912956 45.9517691106941, 18.45606245288286 45.75948110613615, 18.82983808765005 45.90887767189184))"
71,9905596.0,Europe,Hungary,HUN,196600.0,"POLYGON ((16.20229821133736 46.85238597267696, 16.53426761238038 47.49617096616912, 16.34058434415041 47.71290192320123, 16.90375410326726 47.71486562762833, 16.97966678230404 48.12349701597631, 17.48847293464982 47.86746613218622, 17.85713260262003 47.75842886005037, 18.69651289233693 47.8809536810144, 18.77702477384767 48.08176829690063, 19.17436486173989 48.11137889260387, 19.6613635596585 48.26661489520866, 19.76947065601311 48.20269114846361, 20.23905439624935 48.32756724709692, 20.47356204598987 48.56285004332182, 20.80129397958493 48.62385407164238, 21.87223636240174 48.31997081155002, 22.08560835133486 48.42226430927179, 22.64081993987875 48.15023956968736, 22.71053144704049 47.88219391538941, 22.09976769378284 47.6724392767167, 21.62651492685387 46.99423777931816, 21.02195234547125 46.3160879583519, 20.22019249846284 46.12746898048655, 19.59604454924158 46.17172984474454, 18.82983808764996 45.90887767189193, 18.45606245288286 45.75948110613614, 17.63006635912956 45.95176911069419, 16.8825150895953 46.38063182228444, 16.56480838386486 46.50375092221983, 16.37050499844742 46.8413272161665, 16.20229821133736 46.85238597267696))"
74,4203200.0,Europe,Ireland,IRL,188400.0,"POLYGON ((-6.197884894220991 53.86756500916336, -6.032985398777611 53.15316417094435, -6.788856573910849 52.26011790629234, -8.561616583683559 51.66930125589936, -9.977085740590269 51.82045482035308, -9.166282517930782 52.86462881124268, -9.688524542672454 53.8813626165853, -8.327987433292009 54.66451894796863, -7.572167934591064 55.13162221945487, -7.366030646178785 54.59584096945272, -7.572167934591064 54.059956366586, -6.953730231138067 54.07370229757564, -6.197884894220991 53.86756500916336))"
77,306694.0,Europe,Iceland,ISL,12710.0,"POLYGON ((-14.50869544112923 66.45589223903143, -14.73963741704161 65.8087482774403, -13.60973222497981 65.12667104761987, -14.9098337467949 64.36408193628868, -17.79443803554342 63.67874909123385, -18.65624589687499 63.49638296167582, -19.97275468594276 63.64363495549153, -22.76297197111016 63.96017894149539, -21.77848425951768 64.40211579045551, -23.95504391121911 64.8911298692335, -22.18440263517036 65.08496816676031, -22.22742326505333 65.37859365504274, -24.32618404793934 65.61118927678847, -23.65051469572309 66.26251902939522, -22.13492245125089 66.41046865504687, -20.57628373867955 65.73211212835143, -19.05684160000159 66.27660085719477, -17.79862382655905 65.99385325790978, -16.16781897629212 66.52679230413587, -14.50869544112923 66.45589223903143))"
